pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note
POM00001062,"Heiges, Bertha",Malus domestica,apples,"Lakeville, Plymouth County, Massachusetts, United States",1 art original : col. ; 16 x 24 cm. ,13101,1896,,1896,Arctic,
POM00001063,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Bayard, Grant County, West Virginia, United States",1 art original : col. ; 17 x 25 cm. ,37526,1906,,1906,Ardwell,Alternative variety name(s): Sweet Russet
POM00000735,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Saint Paul, Ramsey County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,112788,1934,W.H. Alderman; Univ. Farm,1934-04,Arkansas,
POM00000970,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Washington, D.C., United States",1 art original : col. ; 16 x 25 cm. ,18774,,,,Arkansas,
POM00000971,"Heiges, Bertha",Malus domestica,apples,"Blacksburg, Montgomery County, Virginia, United States",1 art original : col. ; 15 x 24 cm. ,18969,1899,Mammoth Black Twig,1899,Arkansas,
POM00000972,,Malus domestica,apples,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,21433,1901,Mammoth Black Twig,1901,Arkansas,
POM00000973,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Richmond, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,37132,1906,,1906,Arkansas,
POM00000974,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,97804,1919,,1919,Arkansas,
POM00001064,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Linwood, Pocahontas County, West Virginia, United States",1 art original : col. ; 17 x 25 cm. ,113552,1937,American Fruit Growers,1937,Arkansas,
POM00000975,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Waitsburg, Walla Walla County, Washington, United States",1 art original : col. ; 17 x 24 cm. ,14804,1897,,1897,Arkansas Beauty,
POM00000976,"Heiges, Bertha",Malus domestica,apples,"Spokane, Spokane County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,16667,1898,,1898,Arkansas Beauty,
POM00000977,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Levels, Hampshire County, West Virginia, United States",1 art original : col. ; 16 x 25 cm. ,21081,1901,,1901,Arkansas Beauty,
POM00000032,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art reproduction : col. ; 20 x 27 cm. ,[00017],,,,,Watercolor is attached to brown paper frame; Assigned specimen number
POM00000109,,Malus domestica,apples,,1 art original : col. ; 16 x 22 cm. ,1053,,,,,
POM00000112,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Arkansas, United States",1 art original : col. ; 16 x 24 cm. ,1060,1918,By L.B. Pierce,1918,,
POM00000113,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 15 x 24 cm. ,1061,1918,,1918,,
POM00000114,,Malus domestica,apples,,1 art original : col. ; 18 x 24 cm. ,1062,1918,,1918,,
POM00000145,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Tampa, Hillsborough County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,113623,1938,Cauley,1938-07-11,,
POM00000157,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,55078,1912,Seedling Ben Davis X Esopus,1912-03-05,,
POM00000439,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Cleveland, Cuyahoga County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,34086; 34087,1905,Seedless bloom,1905,,
POM00000440,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"West Monterey, Clarion County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,32739; 34084,1905,Portia E. Binkerd; Seedless,1905,,
POM00000769,"Shull, James Marion, 1872-1948",Malus domestica,apples,"The Plains, Fauquier County, Virginia, United States",1 art original : col. ; 17 x 24 cm. ,537a,1911,See also 539,1911,,
POM00000770,"Shull, James Marion, 1872-1948",Malus domestica,apples,"The Plains, Fauquier County, Virginia, United States",1 art original : col. ; 15 x 24 cm. ,539,1911,See also 537,1911,,
POM00000771,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Bothwell, Virginia, United States",1 art original : col. ; 17 x 24 cm. ,940,1916,Collected by Siegler,1916,,"Unable to verify Bothwell, Virginia"
POM00000829,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Culberson, Cherokee County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,110294,1928,,1928-08-21,,
POM00000861,"Shull, James Marion, 1872-1948",Malus domestica,apples,"New Mexico, United States",1 art original : col. ; 15 x 24 cm. ,442,1911,Agr. College,1911,,
POM00000882,"Heiges, Bertha",Malus domestica,apples,"Clarkson, Culpeper County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,21585,1901,"Seedless never blooming; Twig with buds and foliage; See #5681 Bloomless, See #10933, Bloomless, See #20829, Careless Near Bloom",1901-05-14,,
POM00000883,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Cleveland, Cuyahoga County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,36011,1906,Seedless twig with bloom,1906-05-16,,
POM00003162,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kittanning, Armstrong County, Pennsylvania, United States",1 art original : col. ; 16 x 25 cm. ,37462,1907,"Ed. Reitu, Samuel Donaldson; Seedless",1907-02-14,,
POM00003163,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Hilo, Hawaii County, Hawaii, United States",1 art original : col. ; 17 x 25 cm. ,54966,1912,Seedless; J.A. Gamal[u]lson,1912-01-04,,
POM00003164,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Millersburg, Holmes County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,37400,1906,Seedless,1906-11-19,,
POM00003165,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Flatbush, Ulster County, New York, United States",1 art original : col. ; 17 x 25 cm. ,37626,1907,"J. Wulff, c/o M. Madson, East 8th St; Seedless",1907-01-10,,Changed Flatbuch to Flatbush
POM00000935,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Flint Hill, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,353194,1931,,1931-10-20,York Imperial,Alternative variety name(s):  Red Sport
POM00003990,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 19 x 24 cm. ,208,1909,"Result of spraying with neutral Bordeaux; Notes on Color Plate 208: York Imperial apple from neutral Bordeaux plot, Winchester, Va., collected August 3, 1909, M.B.W. Plate by J.M. Shull. Many of the fruits on the neutral bordeaux plot were cracked in the manner shown and all of them more or less affected with the black or brown dots.  The fruits were also somewhat affected by checking of the growth of the skin on the exposed side even though this did not result in cracking.",1909,York Imperial,
POM00003991,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 18 x 23 cm. ,202,1909,,1909,York Imperial,
POM00003992,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 16 x 24 cm. ,203,1909,"Notes on Color Plate 203: York Imperial apple, Kalmia Farm, Woodwardville, MD., collected August 4, 1909, M.B.W.  This represents a mild type of copper poisoning or Bordeaux injury occasionally noticed on York Imperial.  York Imperial is almost immune to ordinary bordeaux when the latter is prepared with excess of lime.  Slight enlargement of the lenticels and occasional small black or brownish specks together with a slight shrinking or failure to grow on the side getting the most spray and exposed to the sun represents the injury.  It is trivial and largely disappears on ripening.",1909,York Imperial,
POM00003993,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 18 x 23 cm. ,204,1909,"For comparison of spray injury as shown in the plates 202, 203. Notes on Color Plate 204: York Imperial apple, Kalmia Farm, Woodwardville, MD., collected August 4, 1909, M.B.W. Plate by J.M. Shull, August 7, 1909.  Sprayed with 8-8-50 lime sulphur plus 2",1909,York Imperial,
POM00003996,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 19 x 25 cm. ,221,1909,"Little known disease, thought possibly to be frost injury on the very young fruit. This shows peculiar depressions extending in a circle partly around the fruit at right angles to the axis and appearing as though a bruise or an injury by heavy pressure had been made.  This is almost certain not the case.",1909-09-08,York Imperial,
POM00002435,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 19 x 24 cm. ,237,1909,"Russet test, plot 6, self-boiled lime sulfur",1909,York Imperial,
POM00000936,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,35726,1906,,1906-02-27,York Stripe,
POM00000937,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Missoula, Missoula County, Montana, United States",1 art original : col. ; 17 x 25 cm. ,45843,1910,,1910-01-06,York Stripe,
POM00001030,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,48194,,,,York Stripe,
POM00001031,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Manhattan, Riley County, Kansas, United States",1 art original : col. ; 17 x 26 cm. ,54799,1911,,1911-12-27,York Stripe,
POM00001186,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,60435,1912,,1912-12-14,York Stripe,
POM00000682,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mountain Grove, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,85622,1916,,1916-02-04,York Winesap,
POM00000683,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mountain Grove, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,85622a,1916,,1916-03-11,York Winesap,
POM00001187,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,14838,1898,,1898-01-12,Zacho,
POM00002341,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Wooster, Wayne County, Ohio, United States",1 art original : col. ; 16 x 24 cm. ,10770,1895,"J.R. Johnson Coshocton, Coshocton County, Ohio. Disseminator of Zoar",1895,Zoar,
POM00001188,"Heiges, Bertha",Malus domestica,apples,"Douglas County, Nebraska, United States",1 art original : col. ; 15 x 25 cm. ,16487,1898,,1898-10-10,Zusoff,
POM00003578,"Passmore, Deborah Griscom, 1840-1911",Malus,crab apple,,1 art original : col. ; 16 x 25 cm. ,26572,1902,,1902,Boone Crab,
POM00003579,"Schutt, Ellen Isham, 1873-1955",Malus,crab apple,United States,1 art original : col. ; 17 x 25 cm. ,34376,1905,,1905,Cherry Crab,
POM00002137,"Arnold, Mary Daisy, ca. 1873-1955",Malus,crab apple,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,109473,1928,"Accession Number 6346; Section G, Row 19-20, Tree 1",1928-01,Entz,Alternative variety name(s): Crab
POM00003455,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Rockford, Floyd County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,40093; 40092,1907,"Ripe - Immediate vs Delayed Storage 40093- Fully Ripe, Delayed. 40092- Fully Ripe, Immediate",1907-12-16,Wealthy,
POM00003456,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,90268,1916,,1916,Wealthy,
POM00003457,"Heiges, Bertha",Malus domestica,apples,"Syracuse, Onondaga County, New York, United States",1 art original : col. ; 17 x 25 cm. ,33209; 33207,1904,"Showing physiological breaking down due to overripeness; Sod vs Tillage 33209 - Second picking from cultivated land, [wr]apped, 09/27/1904. 33207 - Second picking from Sod, [wr]apped, 09/27/1904",1904-12-23,Wealthy,
POM00003458,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Rockford, Floyd County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,40091; 40090,1907,"Immediate vs Delayed Storage- 40091- Just mature, Delayed. 40090- 12/13/1907, Just mature, Immediate",1907,Wealthy,
POM00003459,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Rockford, Floyd County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,40088; 40089,1907,"Immature - Immediate vs Delayed Storage 40088, Immature, Immediate. 40089, Immature, Delayed",1907,Wealthy,
POM00003505,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Syracuse, Onondaga County, New York, United States",1 art original : col. ; 17 x 25 cm. ,34055; 34056,1905,"Showing condition of the fruit after 6 months in cold storage; Sod vs Tillage; 34055 Wealthy S1, first picking; 34056 Wealthy S2, Sod, Second picking 2 weeks after first Sod, 6 months stored; See 34053-4",1905,Wealthy,Alternative variety name(s):  Wealthy Sod Culture
POM00003510,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Syracuse, Onondaga County, New York, United States",1 art original : col. ; 17 x 25 cm. ,34053; 34054,1905,"Sod vs Tillage, stored 6 months. 34053, No. 1 Wealthy - First picking, cultivated land. 34054, No. 2 Wealthy - Second picking, 2 weeks later cultivated land. See 34055-6; R.F.D 5",1905-04-25,Wealthy,
POM00003511,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Dorset, Bennington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,113525,1937,,1937-10,Wealthy,
POM00003512,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Minneapolis, Hennepin County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,40098,1908,from original tree,1908,Wealthy,
POM00003669,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Buffalo, Erie County, New York, United States",1 art original : col. ; 17 x 25 cm. ,33206; 33208,1904,Negative Number 5342; 33206a - [Irog?] first picking. 33206b - 2 cultivation first picking,1904,Wealthy,"Alternative variety name(s):  Wealthy 251a, Wealthy 255b"
POM00003454,"Strange, M.",Malus domestica,apples,"Storrs, Tolland County, Connecticut, United States",1 art original : col. ; 17 x 25 cm. ,73527,1914,,1914-09-11,Wealthy x Red Canada,
POM00003355,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Madison, Dane County, Wisconsin, United States",1 art original : col. ; 17 x 25 cm. ,99719,1921,,1921,Weathly,
POM00003670,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,108375,1926,"Section H, Row 3-4, Tree 2; Picked 09/20/1926",1926-11-18,Weaver Sweet,
POM00003671,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,9241937,1937,,1937-10-19,Webster,Station #2987
POM00002868,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,113706,1939,Geneva Exp. Station,1939-01,Webster,Alternative variety name(s):  Medina
POM00003672,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Saint Paul, Ramsey County, Minnesota, United States",1 art original : col. ; 17 x 26 cm. ,112803,1933,,1933,Wedges,
POM00003673,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"LaCrescent, Houston County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,100433,1921,"Under date of 12/31/1921 Mr. Webster reported that this apple was Minn 90, not Wedge (Minn 207) as he supposed. See letter.; Written by H.P.[S]",1921-11-14,Wedges Minnesota 207,
POM00003674,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"LaCrescent, Houston County, Minnesota, United States",1 art original : col. ; 17 x 26 cm. ,100433a,,Minn. 90 - not Wedge,,Wedges Minnesota 207,
POM00003675,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Bremen, Fairfield County, Ohio, United States",1 art original : col. ; 16 x 24 cm. ,14967,1897,,1897,Wells,
POM00003676,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,20501,1900,,1900,Wells,
POM00005740,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47736,1910,4564,1910-08-26,Old Mixon,
POM00005741,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 26 cm. ,113365,1936,,1936-10,Oldsnixon,Alternative variety name(s): Old Nixon
POM00005742,"Schutt, Ellen Isham, 1873-1955",Prunus persica,peaches,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,35048,1905,,1905,Oliver,
POM00005791,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,48896,1910,,1910-10-12,Oliver,
POM00005743,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,65090,1913,4464; Onderdonks (13),1913-09-30,Onderdonks,
POM00005745,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Denton, Caroline County, Maryland, United States",1 art original : col. ; 16 x 24 cm. ,12269,1896,,1896,Onward,
POM00005746,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47379,1910,,1910-08-08,Opulent,Alternative variety name(s): Opulento
POM00005747,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47823,1910,4124,1910-08-30,Orange Free,
POM00005523,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 16 x 25 cm. ,[00125],1940,,1940,Oriole,Assigned specimen number
POM00005748,"Heiges, Bertha",Prunus persica,peaches,"Mayfield, Hancock County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,34292,1905,,1905-07-28,Oriole,
POM00005749,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,51043,1911,4902,1911-08-01,Oscar,
POM00005750,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,47267,1910,4902,1910-07-26,Oscar,
POM00005751,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,51771,1911,,1911-10-06,Oxford Cling,
POM00005752,"Steadman, Royal Charles, b. 1875",Prunus persica,peaches,"Weatherford, Parker County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,93420,1917,,1917-08-23,Oyama,
POM00005753,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Jacksonville, Duval County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,28855,1903,,1903,Pallas,
POM00005754,"Heiges, Bertha",Prunus persica,peaches,"Dinsmore, Duval County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24982,1902,,1902-07,Pallas,Alternative variety name(s): Parent Honey
POM00005755,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Prunus persica,peaches,,1 art original : col. ; 22 x 27 cm. ,[00142],1935,21-59,1935,Paloro x Foster,Assigned specimen number
POM00004929,"Steadman, Royal Charles, b. 1875",Prunus persica,peaches,"Sacramento, Sacramento County, California, United States",1 art original : col. ; 17 x 25 cm. ,101771,1922,,1922-08-26,Palovo,
POM00004930,"Heiges, Bertha",Prunus persica,peaches,"Clemson, Oconee County, South Carolina, United States",1 art original : col. ; 17 x 25 cm. ,19602,1900,Hort. Exp. Sta.,1900-07-02,Parnell,
POM00004931,"Heiges, Bertha",Prunus persica,peaches,"Fontella, Bedford County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,19650,1900,,1900-07-16,Parsons Early,
POM00006769,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,1294,1922,,1922,,
POM00005929,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,768,1914,"Culture 1499, C.H. Hasse; Basket culture, paper wrapped at 40 degrees Fahrenheit; Stage as of March 9th; Compare with 766-7-9",1914,,
POM00005930,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 16 x 24 cm. ,760,1914,Artificial inoculation by C.H. Hasse,1914,,
POM00005931,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 18 x 24 cm. ,765,1914,"Culture 1500, C.H. Hasse; Basket culture at 60 degrees Fahrenheit; Stage as of March 5th; Compare with 762-3-4",1914,,
POM00005932,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,764,1914,"Culture 1490, C.H. Hasse; Damp chamber at 60 degrees Fahrenheit; Stage as of 03/05/1914; Compare with 762-3-5",1914,,
POM00005933,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,766,1914,"Culture 1492, C.H. Hasse; Damp chamber at 40 degrees Fahrenheit; Stage as of 03/09/1914; Compare with 767-8-9",1914,,
POM00005934,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 18 x 24 cm. ,1292a,1922,Experimentally produced,1922,,
POM00005935,,Citrus sinensis,oranges,"Florida, United States",1 art original : col. ; 17 x 25 cm. ,1593,1932,Artificial inoculation (Phytophthora parasitica); Culture from H.E. Stevens,1932,,
POM00005968,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Thibodaux, Louisiana, United States",1 art original : col. ; 16 x 24 cm. ,1533,1928,Seedling Oranges,1928,,
POM00005981,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Alajuela, Alajuela, Costa Rica",1 art original : col. ; 16 x 24 cm. ,1411,1925,La Esperanza,1925,,
POM00006144,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,,1 art original : col. ; 17 x 25 cm. ,40228,1908,"Physiologist, Dept. of Agri. and P.L.H. 2169",1908-01-06,Acida,
POM00006145,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,17678,,World's Fair,,Bishops Favorite,
POM00000332,"Arnold, Mary Daisy, ca. 1873-1955",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,56873,1912,,1912-07-17,Blood Tardiff,
POM00006146,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,56826,1912,,1912-06-27,Blood Tardiff,
POM00006143,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,,1 art original : col. ; 17 x 25 cm. ,40312,1908,,1908-01-31,Bonboro,
POM00006147,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Windermere, Orange County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,1730,1937,113429,1937-02-15,Boone Early,
POM00006148,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Fort Myers, Lee County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24020,1902,,1902,Brazilian,
POM00001116,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Shanghai, China",1 art original : col. ; 17 x 25 cm. ,40576,1908,S.P.I.,1908-03-19,Canton,
POM00006149,"Lower, Elsie E., b. 1882",Citrus sinensis,oranges,"Shanghai, China",1 art original : col. ; 17 x 25 cm. ,40846,1908,S.P.I.,1908-05-02,Canton,
POM00006150,"Lower, Elsie E., b. 1882",Citrus sinensis,oranges,"Shanghai, China",1 art original : col. ; 17 x 25 cm. ,40846a,1908,S.P.I.,1908-04-25,Canton,
POM00006589,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,1500,1927,,1927,,
POM00006590,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,1122,,,,,
POM00006591,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Plymouth, Orange County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,1540,1928,"Cause of injury not known. Similar to spray injury, but grove had not been sprayed",1928,,
POM00006664,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,"Florida, United States",1 art original : col. ; 17 x 25 cm. ,50021 1/2,1911,,1911-01-07,,
POM00006666,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 24 cm. ,448,1911,Navel crack has became infected with cladosporium,1911,,
POM00006667,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,1190,1919,Same cultures as 1186,1919,,
POM00006668,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Washington, D.C., United States",1 art original : col. ; 16 x 24 cm. ,1186,1919,"All cultures made 10/03/1919. Specimen 1 - Beef agar; specimen 2 - Potato dextrose agar; Specimen 3 - Glycerine agar; Specimen 4 - same as 3, back view",1919-10-20,,
POM00006669,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Kingsville, Kleberg County, Texas, United States",1 art original : col. ; 16 x 24 cm. ,747,1913,Pseudomonas citri.  First specimen received and thought at the time to be new or unknown disease,1913,,
POM00006670,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Bradenton, Manatee County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,919,1916,,1916,,
POM00006727,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,769,1914,"Basket culture at 40 degree Fah[renheit]; Culture 1495, C.H. Hasse; Stage as of 03/09; Compare with 766-7-8",1914,,
POM00006733,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 18 x 24 cm. ,767,1914,"Damp chamber at 40 degrees Fahrenheit; Culture 1503, C.H. Hasse; Stage as of March 9th; Compare with 766-8-9",1914,,
POM00006739,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,1137,1919,,1919,,
POM00006740,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Florida, United States",1 art original : col. ; 19 x 24 cm. ,274,1909,,1909,,
POM00006741,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,"Winter Park, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50604,1911,Cold storage; Stored 03/09/1911 in New York at 38-40 degrees Fahrenheit; Withdrawn 05/03-04/1911,1911-05-06,,
POM00006742,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"California, United States",1 art original : col. ; 18 x 24 cm. ,440,1910,Sprayed with lime sulfur,1910,,
POM00006743,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,"Houma, Louisiana, United States",1 art original : col. ; 18 x 24 cm. ,1528,1928,Sour Orange,1928,,
