pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note,cultivar
POM00003971,,Malus domestica,apples,,1 art original : col. ; 19 x 24 cm. ,1681,,,,,No signature or illustrator but appears to be Shull,apple
POM00003974,,Malus domestica,apples,,1 art original : col. ; 18 x 24 cm. ,1788,,,,,"No gray sleeve with watercolor, No signature or illustrator but appears to be Shull; Image name supplied by NAL",apple
POM00003975,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 19 x 24 cm. ,302,1910.0,"Spray Russet; Russet Test; Plot 8, Combine no. 248, 254, 255. Result of spraying with commercial lime-sulfur plus Bordeaux",1910,,,apple
POM00003976,,Malus domestica,apples,,1 art original : col. ; 16 x 22 cm. ,1290,,,,,,apple
POM00003977,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Malus domestica,apples,,1 art original : col. ; 11 x 12 cm. ,[00038],,,,,Assigned specimen number,apple
POM00003978,,Malus domestica,apples,,1 art original : col. ; 12 x 16 cm. ,[00039],,,,,Assigned specimen number,apple
POM00003979,,Malus domestica,apples,,1 art original : col. ; 13 x 18 cm. ,[00040],,,,,Assigned specimen number,apple
POM00003980,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Malus domestica,apples,,1 art original : col. ; 11 x 12 cm. ,[00041],,,,,Assigned specimen number,apple
POM00003983,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Martinsburg, Berkeley County, West Virginia, United States",1 art original : col. ; 16 x 24 cm. ,404,1910.0,,1910,,,apple
POM00003987,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 16 x 24 cm. ,675,1913.0,X2,1913,,,apple
POM00003998,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 19 x 23 cm. ,227,1909.0,,1909,,,apple
POM00001026,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Philadelphia, Philadelphia County, Pennsylvania, United States",1 art original : col. ; 19 x 24 cm. ,392,1910.0,,1910,,,apple
POM00001034,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Lanham, Prince Georges County, Maryland, United States",1 art original : col. ; 16 x 24 cm. ,443,1911.0,,1911,,,apple
POM00001035,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Winchester, Virginia, United States",1 art original : col. ; 18 x 24 cm. ,881,1915.0,,1915,,,apple
POM00001036,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Vienna, Fairfax County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,697,1913.0,,1913,,,apple
POM00001092,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Covesville, Albemarle County, Virginia, United States",1 art original : col. ; 17 x 24 cm. ,801,1914.0,"Pear Blight on nearly grown fruit, thought to be Yellow Newtown Pippin. This sample carried abundance of germs, was exuding gum and rapidly discoloring clear to the margins.",1914,,,apple
POM00001093,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Eckert, Orchard City, Delta County, Colorado, United States",1 art original : col. ; 16 x 24 cm. ,805,1914.0,,1914,,,apple
POM00001094,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Greenwood, Virginia, United States",1 art original : col. ; 16 x 24 cm. ,272,1909.0,,1909,,,apple
POM00001921,"Heiges, Bertha",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,27323,1902.0,California,1902-11-28,Delicious,,apple
POM00001922,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Port Murray, Warren County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,53514,1911.0,,1911-10-30,Delicious,,apple
POM00002001,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 16 x 25 cm. ,33099,1905.0,,1905-03-01,Delicious,,apple
POM00002002,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,43023,1908.0,,1908-12-09,Delicious,,apple
POM00002003,"Heiges, Bertha",Malus domestica,apples,"Bozeman, Gallatin County, Montana, United States",1 art original : col. ; 16 x 24 cm. ,24002,1902.0,,1902-02-05,Delicious,,apple
POM00002004,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Peru, Madison County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,35316,1905.0,,1905-12-12,Delicious,,apple
POM00002005,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Peru, Madison County, Iowa, United States",1 art original : col. ; 16 x 25 cm. ,37534,1907.0,,1907-01-08,Delicious,,apple
POM00002006,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mitchellville, Polk County, Iowa, United States",1 art original : col. ; 17 x 26 cm. ,111815,1931.0,Though this painting may be questioned at some future time as to its authenticity it is an excellent likeness of the fruit and no doubt exists as to its being Delicious. Mr. Clark sent 15 or 20 specimens. This was selected as being as nearly typical of the lot as any.  Some - a few - were more conic than this but majority were nearly round.  Mr. Clark was requested to send item because he is located in the same general section of Iowa as that in which the Delicious originated.  H.P.G. 02/16/1931,1931-02-16,Delicious,,apple
POM00002007,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Wilbraham, Hampden County, Massachusetts, United States",1 art original : col. ; 17 x 25 cm. ,46545,1910.0,,1910-04-01,Delicious,,apple
POM00002008,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,102134a,1922.0,,1922-10-14,Delicious,,apple
POM00002058,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Peru, Madison County, Iowa, United States",1 art original : col. ; 16 x 25 cm. ,37534a,1907.0,Dup. Plate I.,1907-02-05,Delicious,,apple
POM00002059,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"LaCrescent, Houston County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,111792,1931.0,,1931-02,Delicious,,apple
POM00002060,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Lancaster, Coos County, New Hampshire, United States",1 art original : col. ; 17 x 26 cm. ,105543,1924.0,,1924-11-01,Delicious,,apple
POM00002061,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Denver, Arapahoe County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,33350,1905.0,,1905-02-04,Delicious,,apple
POM00002062,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rockville, Montgomery County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,108477,1926.0,,1926-12-13,Delicious,,apple
POM00002088,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Berwyn Heights, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,90371,1916.0,,1916-11-02,Delicious,,apple
POM00002089,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Yakima, Yakima County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,56562,1912.0,"15 days out of storage when sent. Find sound fruit. Lot 7.  Picked 10/10/1911, Stored 10/11/1911, Out 05/10/1912. 15 year old tree.  Limit in storage 05/15/",1912-06-28,Delicious,,apple
POM00002090,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Portland, Multnomah County, Oregon, United States",1 art original : col. ; 17 x 26 cm. ,55797,1912.0,Out of storage 03/11/1912; Out of storage 14 days at January inspection then returned to storage,1912-03-30,Delicious,,apple
POM00002091,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Wenatchee, Chelan County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,56563,1912.0,"15 days out 05/25/1912.  Lot 5.  Picked 09/29/1911, Stored 10/01/1911, Out 05/10/1912. 5 year old tree. Limit in storage May 1",1912-06-22,Delicious,,apple
POM00002092,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Salisbury, Wicomico County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,111036; 111037,1929.0,"111036 is Delicious, 111037 is Starking; Delicious apple picked 08/02/1929 to show color. This date compared with Starking",1929-08-23,Delicious,Alternative variety name(s):  Starking,apple
POM00003629,"Heiges, Bertha",Malus domestica,apples,"Virginia, United States",1 art original : col. ; 16 x 25 cm. ,33391,1905.0,Very close if not identical with winesap,1905-03-15,Vanderspiegel,,apple
POM00003915,"Heiges, Bertha",Malus domestica,apples,"Tyrone, Blair County, Pennsylvania, United States",1 art original : col. ; 15 x 24 cm. ,12649,1896.0,,1896-12-01,Vandervere,Alternative variety name(s):  White Vandevere,apple
POM00003630,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110640,1928.0,,1928-09-28,Vandevere,,apple
POM00003664,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Wilmore, Cambria County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,37391,1907.0,,1907-01-17,Vandevere,,apple
POM00003665,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Lafayette, Tippecanoe County, Indiana, United States",1 art original : col. ; 17 x 25 cm. ,50133,1911.0,,1911-04-04,Vandevere,,apple
POM00003666,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Manhattan, Riley County, Kansas, United States",1 art original : col. ; 17 x 25 cm. ,59492,1912.0,,1912-10-19,Vandevere,,apple
POM00003667,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,105632a,1925.0,"Section H, Row 7, Tree 1",1925-02-17,Vandevere,,apple
POM00003668,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,,1 art original : col. ; 17 x 26 cm. ,107033a,1925.0,,1925-11-12,Vandevere,,apple
POM00003914,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,108715,1927.0,"Section E, Row 21-22, Tree 2",1927-04-19,Vandevere,,apple
POM00003916,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,112358,1931.0,,1931-10-19,Vandiver,,apple
POM00003917,"Heiges, Bertha",Malus domestica,apples,"Bel Air, Harford County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,33253,1905.0,,1905-03-13,Vandiver,,apple
POM00003966,"Heiges, Bertha",Malus domestica,apples,"Omaha, Douglas County, Nebraska, United States",1 art original : col. ; 16 x 25 cm. ,16486,1898.0,Omaha Fair,1898-10-10,Vargul,,apple
POM00003783,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,46184,1910.0,,1910-01-26,Variety No. 2,,apple
POM00001206,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Newport, Orleans County, Vermont, United States",1 art original : col. ; 16 x 25 cm. ,3907,1892.0,,1892-09-12,Vasilis Largest,Alternative variety name(s):  Basil the Great,apple
POM00003784,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Fairbury, Jefferson County, Nebraska, United States",1 art original : col. ; 17 x 25 cm. ,49774,1910.0,,1910-12-12,Vaughns Seedless,,apple
POM00003785,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Buckeye, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,79112,1915.0,,1915-01-11,Veribest,"Unable to verify Buckeye, Oregon",apple
POM00003663,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Richmond, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,48830,1911.0,,1911-01-13,Via Seedling,Alternative variety name(s):  Via,apple
POM00002340,"Heiges, Bertha",Malus domestica,apples,,1 art original : col. ; 16 x 25 cm. ,14768,1897.0,,1897-10-18,Via Seedling,,apple
POM00003786,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Sheridan, Chautaugua County, New York, United States",1 art original : col. ; 16 x 25 cm. ,22649,1901.0,,1901,Victoria Sweet,,apple
POM00003787,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Orangeburg, Rockland County, New York, United States",1 art original : col. ; 17 x 25 cm. ,58732,1912.0,,1912-10-05,Victoria Sweet,,apple
POM00005314,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Clarendon, Donley County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,47027,1910.0,,1910-06-29,Dawn,,apricot
POM00005315,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Fremont, Sandusky County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,90260,1916.0,,1916,Day,,apricot
POM00005316,"Newton, Amanda Almira, ca. 1860-1943",Prunus persica,peaches,"New Tazewell, Claiborne County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,36353,1906.0,Stump,1906-08-08,Deans Red,,apricot
POM00005317,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Tazewell, Claiborne County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,19768,1900.0,,1900,Deans Red,,apricot
POM00005318,"Heiges, Bertha",Prunus persica,peaches,"Phoenix, Maricopa County, Arizona, United States",1 art original : col. ; 17 x 25 cm. ,23600,1901.0,,1901-11,December Free,,apricot
POM00005319,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Glenn Dale, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,28953,1903.0,,1903,Delaware,,apricot
POM00005321,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,48060,1910.0,Demmings 4088,1910-09-16,Demmings,,apricot
POM00005320,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,64449,1913.0,4088,1913-09-13,Demmings September,,apricot
POM00005322,"Heiges, Bertha",Prunus persica,peaches,"Lavonia, Franklin County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,19563,1900.0,,1900-06-22,Dennington,,apricot
POM00005323,"Heiges, Bertha",Prunus persica,peaches,"Cedar Rapids, Linn County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,16465,1898.0,,1898,Dennis,,apricot
POM00005324,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Cedar Rapids, Linn County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,42302,1908.0,,1908-10-01,Dennis Seedling No. 2,,apricot
POM00005325,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,51467,1911.0,,1911-09-02,Denton,,apricot
POM00005328,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,50949,1911.0,,1911-07-15,Dewey,,apricot
POM00005329,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,51320,1911.0,Dewey 4861,1911-09-09,Dewey,,apricot
POM00005330,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,4151936,1936.0,Negative Number 14,1936-07,Dewey,,apricot
POM00005326,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,41177,1908.0,,1908-07-17,Dewey 4861,,apricot
POM00005327,"Lower, Elsie E., b. 1882",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,48029,1910.0,Dewey 4045,1910-09-14,Dewey Cling,,apricot
POM00005331,"Passmore, Deborah Griscom, 1840-1911",Prunus persica,peaches,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,42051,1908.0,Dewey 4045,1908-09-24,Dewey Cling,,apricot
POM00005333,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,781939,1939.0,"Specimen; # 7-8-?39. Exp-11-?, Exp-21-?",1939,Dewey x St. John,,apricot
POM00005332,"Arnold, Mary Daisy, ca. 1873-1955",Prunus persica,peaches,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,113331,1936.0,Negative Number  17,1936-09,Dewey x Yellow St. John,,apricot
POM00004671,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Hood River, Hood River County, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,38450,1907.0,J.R. Nunamaker,1907-07-12,Lambert,Watercolor includes mock up for the Yearbook of Agriculture (1907),cherry
POM00004672,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Troutdale, Multnomah County, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,38457,1907.0,Miss Glara L. Webb,1907-07-16,Lambert,Changed Troutville to Troutdale,cherry
POM00004673,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,89059,1916.0,,1916-07-21,Lambert,,cherry
POM00004674,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Salem, Marion County, Oregon, United States",1 art original : col. ; 16 x 25 cm. ,9082,1895.0,,1895,Lambert,,cherry
POM00004675,"Steadman, Royal Charles, b. 1875",Prunus avium,cherries,"Toppenish, Yakima County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,104974,1924.0,T. A. Wiggins,1924-07-05,Lambert,,cherry
POM00004677,"Passmore, Deborah Griscom, 1840-1911",Prunus avium,cherries,"Grimsby, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,47127,1910.0,Ontario Fruit Station,1910-07-13,Late Duke,,cherry
POM00004678,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Santa Rosa, Sonoma County, California, United States",1 art original : col. ; 17 x 25 cm. ,51018,1911.0,,1911-07-30,Late Napoleon,,cherry
POM00004679,"Schutt, Ellen Isham, 1873-1955",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,57052,1912.0,,1912-07-19,Louis Phillips,,cherry
POM00004680,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,57050,1912.0,,1912-07-20,Luelling,,cherry
POM00000857,"Steadman, Royal Charles, b. 1875",Prunus avium,cherries,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,98382,1920.0,,1920-07-06,Mahaleb Cherry,,cherry
POM00004681,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Prunus avium,cherries,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,112614,1933.0,,1933,Marasca Moscata,,cherry
POM00004682,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,72028,1914.0,,1914,May Duke,,cherry
POM00004683,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 16 x 25 cm. ,89050,1916.0,,1916,May Duke,,cherry
POM00004684,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Salem, Marion County, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,38439,1907.0,"Wm. Meador, Monmouth, Oregon",1907-07-09,Meador Seedling,,cherry
POM00004685,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,50743,1911.0,Meeker 4945,1911-06-30,Meeker,,cherry
POM00004686,"Steadman, Royal Charles, b. 1875",Prunus avium,cherries,,1 art original : col. ; 17 x 26 cm. ,110114,1928.0,,1928-04-25,Meyers,,cherry
POM00004687,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,89118,1916.0,,1916-07-25,Mezel,,cherry
POM00004688,"Arnold, Mary Daisy, ca. 1873-1955",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,56963,1912.0,,1912-07-12,Montmorency,,cherry
POM00004689,"Steadman, Royal Charles, b. 1875",Prunus avium,cherries,"East Jordan, Charlevoix County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,111506az,,,,Montmorency,,cherry
POM00004181,"Newton, Amanda Almira, ca. 1860-1943",Prunus avium,cherries,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 26 cm. ,56964,1912.0,,1912-07-12,Montmorency Large,,cherry
POM00001374,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Douglas, Allegan County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,40368,1908.0,,1908-02-17,Bishop Bourne,,apple
POM00003021,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Niles, Fremont, Alameda County, California, United States",1 art original : col. ; 16 x 25 cm. ,18295,1899.0,,1899,Bisk Red,Alternative variety name(s): Pewaukee,apple
POM00001612,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Rochester, Monroe County, New York, United States",1 art original : col. ; 17 x 25 cm. ,35421,1905.0,,1905,Bismarck,,apple
POM00001615,"Heiges, Bertha",Malus domestica,apples,Canada,1 art original : col. ; 17 x 25 cm. ,22553,1902.0,,1902-02-07,Bismarck,,apple
POM00001613,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Syracuse, Onondaga County, New York, United States",1 art original : col. ; 17 x 25 cm. ,49682,1910.0,,1910-12-15,Bismark,,apple
POM00001614,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,105673,1924.0,"Section A, Row 5-6, Tree 5",1924-12-22,Bismark,,apple
POM00000767,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,United States,1 art original : col. ; 17 x 24 cm. ,[00012],,Apple bitter pit.  Apparently the physiological bitter pit of the apple.  Many of the spots seem to be very slightly or not at all connected with the lenticles.  From Pacific Northwest locality not known.,,Bitter Pit,Assigned specimen number,apple
POM00000768,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 17 x 24 cm. ,417,1910.0,See 418,1910,Bitter Pit,,apple
POM00001617,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,105973,1925.0,,1925-04-15,Black Annette,,apple
POM00001618,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Mapleton, Monroe County, Iowa, United States",1 art original : col. ; 16 x 25 cm. ,12710,1896.0,,1896-10-03,Black Annette,,apple
POM00001616,"Lower, Elsie E., b. 1882",Malus domestica,apples,"La Grange County, Indiana, United States",1 art original : col. ; 17 x 25 cm. ,32664,1904.0,,1904-10-22,Black Apple,Alternative variety name(s): Ind. Favorite,apple
POM00001375,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Wenatchee, Chelan County, Washington, United States",1 art original : col. ; 16 x 24 cm. ,1187,1919.0,Coloration after picking.  Lighter part due to shadow of top of crate in which they were exposed to light.,1919,Black Ben,,apple
POM00001376,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 16 x 25 cm. ,33843,1905.0,,1905,Black Ben,,apple
POM00001377,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,33843a,1905.0,,1905-06-02,Black Ben,,apple
POM00001378,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Austin, Orchard City, Delta County, Colorado, United States",1 art original : col. ; 17 x 26 cm. ,54679,1912.0,,1912-01-27,Black Ben,,apple
POM00001379,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Wooster, Wayne County, Ohio, United States",1 art original : col. ; 17 x 26 cm. ,56185,1912.0,,1912-04-15,Black Ben,,apple
POM00002227,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Louisiana, Pike County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,27831,1903.0,,1903,Black Ben Davis,Alternative variety name(s):  Gano,apple
POM00002482,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Canon City, Fremont County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,35257,1905.0,,1905-11-29,Black Ben Davis,Alternative variety name(s):  Gano,apple
POM00001380,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Bear Gap, Northumberland County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,4222,1892.0,,1892-10-04,Black Gilliflower,,apple
POM00001381,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"New Haven, Allen County, Indiana, United States",1 art original : col. ; 16 x 25 cm. ,84946,1915.0,,1915,Black Gilliflower,,apple
POM00006151,"Lower, Elsie E., b. 1882",Citrus sinensis,oranges,"Shanghai, China",1 art original : col. ; 17 x 25 cm. ,40208,1908.0,S.P.I.,1908-01-09,Canton,,citrus
POM00000294,,Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 22 x 27 cm. ,113477,,Citrus hybrid,,Chimera,,citrus
POM00006152,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Tangerine, Orange County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,37701,1907.0,,1907-01-30,Conners Seedling,,citrus
POM00006153,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Santa Barbara, Santa Barbara County, California, United States",1 art original : col. ; 17 x 25 cm. ,40902,1908.0,,1908-06-01,Cooper Seedless,,citrus
POM00006154,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Mexico City, Mexico",1 art original : col. ; 17 x 25 cm. ,32301,1904.0,,1904,Cordoba,,citrus
POM00005804,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Fruitland Park, Lake County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,95570,1919.0,G.P. Bosanquet,1919-01-22,Cunningham,,citrus
POM00005805,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Fruitland Park, Lake County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,95570a,1919.0,L.P. Bosanquet,1919-01-23,Cunningham,,citrus
POM00005806,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Silverhill, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,112020,1920.0,For comparison with tree ripened fruit,1920-11-20,Cured Owari,,citrus
POM00006155,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,19192,1900.0,,1900,Cutter,,citrus
POM00005807,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,6414,1894.0,,1894,Du Roi,,citrus
